id_avaliacao,id_loja,data,nota,canal,tempo_espera_min,comentario
AV0001,LJ01,02.01.2026,"4,0",Google,999,"Ambiente agradável para trabalhar"
AV0002,LJ01,2026-03-21,4,app,12,
AV0003,LJ01,16/03/2026,4,app,9,"Equipe atenciosa, já conhecem meu pedido"
AV0004,LJ01,2026-04-18,4,Google,6,
AV0005,LJ01,02/12/2025,3,App,7,
AV0006,LJ01,30.11.2025,4,Google,12,"Equipe atenciosa, já conhecem meu pedido"
AV0007,LJ01,2026-01-09,3,App,12,"Bom, mas faltava opção sem lactose"
AV0008,LJ01,21/12/2025,3,totem na loja,7,"Gostei, só achei o lugar cheio demais"
AV0009,lj01,2025-08-01,"4,0",google maps,11,"Equipe atenciosa, já conhecem meu pedido"
AV0010,LJ01,08/03/2026,"5,0",Google,,"Equipe atenciosa, já conhecem meu pedido"
AV0011,LJ01,22.03.2026,3,Google,13,"Café bom mas o atendimento demorou"
AV0012,LJ01,2026-03-02,4,App,999,"Cold brew excelente"
AV0013,LJ01,23/12/2025,3,google maps,999,"Café bom mas o atendimento demorou"
AV0014,LJ01,2026-06-03,4,Google,10,"Café muito bom, atendimento rápido"
AV0015,LJ01,01/04/2026,5,google maps,7,"Wi-fi funciona bem, virei cliente da manhã"
AV0016,LJ01,29.05.2026,5,google maps,11,
AV0017,LJ01,2025-09-13,três,google maps,999,"Gostei, só achei o lugar cheio demais"
AV0018,LJ01,17/04/2026,4,app,6,"Ambiente agradável para trabalhar"
AV0019,LJ01,2025-12-05,5,totem na loja,6,
AV0020,LJ01,09/07/2025,4,Google,12,"Equipe atenciosa, já conhecem meu pedido"
AV0021,LJ01,03.11.2025,3,Google,,
AV0022,LJ01,2025-07-25,4 estrelas,totem na loja,11,"Café muito bom, atendimento rápido"
AV0023,LJ01,16/03/2026,5,google maps,,"Melhor espresso da região"
AV0024,lj01,2025-08-26,4,totem na loja,,"Cold brew excelente"
AV0025,LJ01,09/07/2025,4,Google,10,"Cold brew excelente"
AV0026,LJ01,26.02.2026,4,Google,8,
AV0027,LJ01,2025-11-30,cinco,Google,9,"Wi-fi funciona bem, virei cliente da manhã"
AV0028,LJ01,25/10/2025,5,totem na loja,10,"Pão de queijo sempre quente"
AV0029,LJ01,2025-09-06,3,App,12,"Café bom, cardápio poderia ter mais opções"
AV0030,lj01,23/04/2026,4,totem na loja,11,"Equipe atenciosa, já conhecem meu pedido"
AV0031,LJ01,21.09.2025,4,App,6,"Preço justo pelo que entrega"
AV0032,LJ01,2025-10-15,4,Google,6,
AV0033,LJ01,19/11/2025,5,app,9,"Café muito bom, atendimento rápido"
AV0034,LJ02,2025-08-12,4,Google,9,"Ambiente agradável para trabalhar"
AV0035,LJ02,09/11/2025,4,totem na loja,7,"Preço justo pelo que entrega"
AV0036,LJ02,06.09.2025,quatro,app,10,"Equipe atenciosa, já conhecem meu pedido"
AV0037,LJ02,2026-01-16,5,App,5,"Cold brew excelente"
AV0038,LJ02,28/06/2026,5,google maps,6,"Ambiente agradável para trabalhar"
AV0039,LJ02,2026-02-20,5,app,7,"Preço justo pelo que entrega"
AV0040,LJ02,11/08/2025,5,App,6,"Pão de queijo sempre quente"
AV0041,LJ02,22.12.2025,4,Google,5,"Melhor espresso da região"
